학교명,도로명주소,위도,경도,법정동,행정동
서울학동초등학교,"서울특별시 강남구 선릉로115길 42 , 서울학동초등학교 (논현동)",37.51204595,127.0394356,논현동,논현2동
서울가동초등학교,서울특별시 송파구 중대로20길 47 (가락동),37.49725593,127.1297903,가락동,가락2동
서울가락초등학교,"서울특별시 송파구 송파대로37길 45 (가락동, 가락초등학교)",37.49987464,127.1072149,가락동,가락1동
서울가원초등학교,"서울특별시 송파구 중대로4길 8 (문정동, 가원초등학교)",37.48944278,127.1110287,문정동,문정2동
서울가주초등학교,"서울특별시 송파구 오금로40길 37 , 서울가주초등학교 (가락동, 가주초등학교)",37.49656722,127.1292804,가락동,가락2동
서울강덕초등학교,"서울특별시 강동구 동남로82길 94-54 (고덕동, 서울강덕초등학교)",37.55954748,127.1604836,고덕동,고덕2동
서울강동초등학교,"서울특별시 강동구 상암로14길 77 (천호동,서울강동초등학교)",37.5463638,127.1301872,천호동,천호2동
서울강일초등학교,"서울특별시 강동구 아리수로98길 24 , 서울강일초등학교 (강일동)",37.56525568,127.1772125,강일동,강일동
서울거여초등학교,"서울특별시 송파구 마천로25길 18 (오금동, 거여초등학교)",37.50502612,127.1409468,오금동,오금동
서울거원초등학교,"서울특별시 송파구 양산로2길 26 (거여동,거원초등학교)",37.48763851,127.144816,거여동,거여2동
서울고덕초등학교,"서울특별시 강동구 아리수로82길 42 , 고덕초등학교 (고덕동)",37.56129422,127.166097,고덕동,고덕2동
서울고명초등학교,"서울특별시 강동구 고덕로46길 53 , 서울고명초등학교 (명일동)",37.55297253,127.1474362,명일동,명일1동
서울고일초등학교,"서울특별시 강동구 구천면로93길 20 , 서울고일초등학교 (상일동)",37.55154262,127.1694101,상일동,상일1동
서울길동초등학교,"서울특별시 강동구 양재대로116길 69 , 서울길동초등학교 (길동)",37.53859168,127.1449729,길동,길동
서울남천초등학교,서울특별시 송파구 성내천로 207 (마천동),37.50132913,127.1510632,마천동,마천2동
서울대명초등학교,"서울특별시 강동구 상암로 271 (명일동,서울대명초등학교)",37.54770706,127.1528496,명일동,명일2동
서울둔촌초등학교,"서울특별시 강동구 양재대로88길 27 , 서울둔촌초등학교 (둔촌동)",37.52621993,127.1374541,둔촌동,둔촌1동
서울마천초등학교,"서울특별시 송파구 마천로61다길 24 , 서울마천초등학교 (마천동)",37.49543751,127.1527046,마천동,마천1동
서울명덕초등학교,"서울특별시 강동구 양재대로156길 11 , 서울명덕초등학교 (고덕동)",37.55676233,127.1450815,고덕동,고덕1동
서울명원초등학교,"서울특별시 강동구 명일로 364 , 서울명원초등학교 (명일동)",37.55128785,127.1505002,명일동,명일2동
서울명일초등학교,"서울특별시 강동구 고덕로38길 8 (암사동, 서울명일초등학교)",37.5545536,127.1425911,암사동,암사1동
서울묘곡초등학교,서울특별시 강동구 동남로79길 46 (고덕동),37.55871279,127.1530934,고덕동,고덕1동
서울문덕초등학교,서울특별시 송파구 송이로34길 60 (문정동),37.48505216,127.1279627,문정동,장지동
서울문정초등학교,"서울특별시 송파구 문정로5길 20 , 문정초등학교 (문정동)",37.48907741,127.1292062,문정동,문정1동
서울방산초등학교,서울특별시 송파구 오금로27길 42 (방이동),37.50953792,127.1211907,방이동,방이1동
서울방이초등학교,"서울특별시 송파구 위례성대로10길 4 , 서울방이초등학교 (방이동)",37.51351229,127.1205311,방이동,방이1동
서울삼전초등학교,서울특별시 송파구 백제고분로28길 19 (삼전동),37.50170128,127.0932681,삼전동,삼전동
서울상일초등학교,서울특별시 강동구 천호대로 1477 (상일동),37.54757217,127.1726635,상일동,상일1동
서울석촌초등학교,"서울특별시 송파구 가락로11길 26 , 서울석촌초등학교 (석촌동)",37.50265278,127.1052385,석촌동,석촌동
서울선린초등학교,"서울특별시 강동구 진황도로61길 29 , 서울선린초등학교 (둔촌동)",37.52976012,127.145594,둔촌동,둔촌2동
서울선사초등학교,"서울특별시 강동구 올림픽로 837 , 서울선사초등학교 (암사동, 서울선사초등학교)",37.55584691,127.128196,암사동,암사2동
서울성내초등학교,"서울특별시 강동구 성내로3길 19 (성내동, 서울성내초등학교)",37.53135786,127.1225001,성내동,성내1동
서울성일초등학교,"서울특별시 강동구 성내로15길 33 , 서울성일초등학교 (성내동)",37.52970924,127.1284083,성내동,성내1동
서울세륜초등학교,"서울특별시 송파구 양재대로 1264 , 서울세륜초등학교 (방이동)",37.51857484,127.1341577,방이동,오륜동
서울송전초등학교,서울특별시 송파구 석촌호수로 159 (잠실동),37.50883126,127.0951214,잠실동,잠실3동
서울송파초등학교,서울특별시 송파구 백제고분로 400 (송파동),37.50695497,127.1112472,송파동,송파1동
서울신가초등학교,"서울특별시 송파구 송이로 75 , 서울신가초등학교 (가락동)",37.50032072,127.1197004,가락동,가락본동
서울신명초등학교,"서울특별시 강동구 명일로24길 33 , 서울신명초등학교 (길동)",37.54092685,127.1499791,길동,길동
서울신암초등학교,"서울특별시 강동구 올림픽로93길 33-16 , 서울신암초등학교 (암사동)",37.55002367,127.1244044,암사동,암사2동
서울신천초등학교,"서울특별시 송파구 올림픽로 215 (잠실동, 주공아파트)",37.51400777,127.0950365,잠실동,잠실3동
서울아주초등학교,"서울특별시 송파구 올림픽로4길 59 , 서울아주초등학교 (잠실동)",37.5057897,127.0753173,잠실동,잠실7동
서울영풍초등학교,"서울특별시 송파구 오금로57길 15 , 서울영풍초등학교 (거여동)",37.49618624,127.1432147,거여동,거여1동
서울오금초등학교,"서울특별시 송파구 위례성대로22길 11 (오금동, 서울오금초등학교)",37.50937049,127.1319779,오금동,오금동
서울오륜초등학교,"서울특별시 송파구 양재대로 1196 , 서울오륜초등학교 (방이동)",37.51242748,127.1343968,방이동,오륜동
서울위례초등학교,서울특별시 강동구 명일로 23 (둔촌동),37.52231852,127.1394366,둔촌동,둔촌1동
서울잠동초등학교,"서울특별시 송파구 올림픽로35길 122 (신천동, 잠동초등학교)",37.51836408,127.0999979,신천동,잠실6동
서울잠신초등학교,"서울특별시 송파구 잠실로 32 , 서울잠신초등학교 (잠실동)",37.51416975,127.0879767,잠실동,잠실2동
서울잠실초등학교,"서울특별시 송파구 올림픽로35길 20 (신천동,잠실초등학교)",37.52014104,127.1107998,신천동,잠실4동
서울잠일초등학교,"서울특별시 송파구 올림픽로 95 , 서울잠일초등학교 (잠실동)",37.51474166,127.0816362,잠실동,잠실2동
서울잠전초등학교,"서울특별시 송파구 올림픽로12길 51 , 서울잠전초등학교 (잠실동)",37.50733493,127.0838644,잠실동,잠실본동
서울중대초등학교,서울특별시 송파구 송파대로36길 8 (송파동),37.4998119,127.1136055,송파동,송파2동
서울천동초등학교,"서울특별시 강동구 성안로 200 , 서울천동초등학교 (길동)",37.5410159,127.1378287,길동,길동
서울천일초등학교,"서울특별시 강동구 구천면로 266 , 서울천일초등학교 (천호동)",37.54436122,127.1334367,천호동,천호1동
서울천호초등학교,"서울특별시 강동구 구천면로 310-11 (천호동,서울천호초등학교)",37.54771897,127.1365923,천호동,천호1동
서울토성초등학교,"서울특별시 송파구 풍성로20길 44 , 서울토성초등학교 (풍납동)",37.53189633,127.1157724,풍납동,풍납2동
서울평화초등학교,"서울특별시 송파구 송파대로26길 22 , 서울평화초등학교 (가락동)",37.49161834,127.1227005,가락동,가락본동
서울풍납초등학교,서울특별시 송파구 풍성로 43 (풍납동),37.53529406,127.1175324,풍납동,풍납1동
서울풍성초등학교,"서울특별시 송파구 강동대로2길 13 , (풍납동,풍성초등학교)",37.52631188,127.1134927,풍납동,풍납2동
서울한산초등학교,"서울특별시 강동구 풍성로 261 (서울한산초등학교, 둔촌동)",37.52869458,127.1410769,둔촌동,둔촌2동
서울가곡초등학교,"서울특별시 강서구 공항대로36길 74 (내발산동,가곡초등학교)",37.55570217,126.8360834,마곡동,발산1동
서울가양초등학교,"서울 강서구 허준로 186 , (가양동,가양초등학교)",37.56221719,126.8585216,가양동,가양3동
서울갈산초등학교,"서울특별시 양천구 목동로 31 , 서울갈산초등학교 (신정동)",37.51237156,126.8702299,신정동,신정7동
서울강서초등학교,"서울특별시 양천구 오목로 31 (신월동, 서울강서초등학교)",37.52241272,126.8409879,신월동,신월4동
서울강신초등학교,"서울특별시 양천구 월정로 280 , 서울강신초등학교 (신월동,서울강신초등학교)",37.54213683,126.8295814,신월동,신월5동
서울강월초등학교,"서울특별시 양천구 신월로 97 (신월동,서울강월초등학교)",37.51634172,126.8334319,신월동,신월7동
서울개화초등학교,"서울특별시 강서구 양천로 11 (방화동,개화초등학교)",37.57392624,126.8046942,방화동,방화1동
서울경인초등학교,"서울특별시 양천구 안양천로 1009 (목동,서울경인초등학교)",37.53287102,126.8856957,목동,목5동
서울계남초등학교,"서울특별시 양천구 목동동로2길 54 , 서울계남초등학교 (신정동,서울계남초등학교)",37.51016776,126.8600159,신정동,신정7동
서울공진초등학교,"서울특별시 강서구 마곡서로 33 , 서울공진초등학교 (마곡동 749-2)",37.55783088,126.8228061,마곡동,공항동
서울공항초등학교,서울특별시 강서구 마곡서1로 68 (마곡동),37.56317526,126.8212152,마곡동,방화1동
서울남명초등학교,"서울특별시 양천구 중앙로23길 3 (신정동,서울남명초등학교)",37.51568853,126.8540998,신정동,신정3동
서울내발산초등학교,"서울특별시 강서구 강서로46길 23 (내발산동,내발산초등학교)",37.55088255,126.8381642,내발산동,우장산동
서울등명초등학교,"서울특별시 강서구 강서로56나길 34 (등촌동,등명초등학교)",37.56089445,126.8423822,등촌동,등촌3동
서울등서초등학교,"서울특별시 강서구 화곡로58길 86 (화곡동,등서초등학교)",37.55188439,126.8550381,화곡동,화곡6동
서울등양초등학교,"서울특별시 강서구 강서로56나길 140 , 등양초등학교 (등촌동,등양초등학교)",37.56494704,126.8447602,등촌동,등촌3동
서울등원초등학교,"서울특별시 강서구 화곡로65길 90 , 서울등원초등학교 (등촌동)",37.55981354,126.850069,등촌동,등촌3동
서울등촌초등학교,"서울특별시 강서구 등촌로39길 71 (등촌동,등촌초등학교)",37.54761422,126.8579422,등촌동,등촌2동
서울등현초등학교,"서울특별시 강서구 화곡로65길 124 (등촌동,등현초등학교)",37.56145118,126.8475984,등촌동,등촌3동
서울목동초등학교,"서울특별시 양천구 목동동로12길 12 (신정동,서울목동초등학교)",37.52280877,126.8721195,신정동,신정2동
서울목원초등학교,"서울특별시 양천구 목동중앙로 204 (목동,목원초등학교)",37.54293497,126.8824459,목동,목5동
서울발산초등학교,"서울특별시 강서구 강서로45길 113 (내발산동,발산초등학교)",37.55026244,126.8309944,내발산동,발산1동
서울방화초등학교,서울특별시 강서구 양천로6길 92 (방화동),37.56870409,126.8074982,방화동,방화2동
서울백석초등학교,"서울특별시 강서구 공항대로 491 (등촌동,백석초등학교)",37.55364765,126.8624258,등촌동,등촌1동
서울삼정초등학교,"서울특별시 강서구 금낭화로 222 , 서울삼정초등학교 (방화동)",37.58050843,126.8104937,방화동,방화3동
서울서정초등학교,"서울특별시 양천구 목동로8길 19 (목동,서울서정초등학교)",37.52345012,126.8672362,목동,목1동
서울송정초등학교,서울특별시 강서구 공항대로3길 18 (공항동),37.56223089,126.8102813,공항동,공항동
서울송화초등학교,"서울특별시 강서구 방화대로34길 2 (방화동,송화초등학교)",37.56815047,126.8180329,마곡동,방화1동
서울신강초등학교,"서울특별시 양천구 중앙로55길 72 , 서울신강초등학교 (신월동,서울신강초등학교)",37.52584419,126.8422639,신월동,신월2동
서울신곡초등학교,"서울특별시 강서구 등촌로13자길 42-14 (화곡동,신곡초등학교)",37.53909546,126.8560096,화곡동,화곡4동
서울신남초등학교,서울 양천구 남부순환로83길 44 (신월동),37.51602623,126.8451178,신월동,신월6동
서울신목초등학교,"서울특별시 양천구 신목로5길 11-6 (신정동,서울신목초등학교)",37.51661098,126.8726408,신정동,신정2동
서울신서초등학교,서울특별시 양천구 목동서로10길 35 (신정동 312-1번지),37.52053525,126.862325,신정동,신정1동
서울신원초등학교,"서울특별시 양천구 남부순환로58길 32 (신월동,서울신원초등학교)",37.52951558,126.8298656,신월동,신월3동
서울신월초등학교,"서울특별시 강서구 강서로31길 48 (화곡동,신월초등학교)",37.54036551,126.8394555,화곡동,화곡1동
서울신정초등학교,서울특별시 강서구 곰달래로31가길 27 (화곡동),37.53306112,126.8525934,화곡동,화곡2동
서울양강초등학교,"서울특별시 양천구 오목로 101 (신월동, 서울양강초등학교)",37.52411035,126.8473753,신월동,신월2동
서울양동초등학교,서울특별시 양천구 오목로23길 24 (신정동),37.52584826,126.8512402,신정동,신정4동
서울양명초등학교,"서울특별시 양천구 중앙로 204 (신정동,양명초등학교)",37.51637495,126.8566349,신정동,신정1동
서울양목초등학교,"서울특별시 양천구 목동로11길 30 (신정동, 서울양목초등학교)",37.52387928,126.8616692,신정동,신정4동
서울양원초등학교,"서울특별시 양천구 화곡로 16 (신월동,서울양원초등학교)",37.53822841,126.8231051,신월동,신월3동
서울양천초등학교,"서울특별시 강서구 양천로 329 (가양동,양천초등학교)",37.57018817,126.8395397,가양동,가양1동
서울양화초등학교,"서울특별시 양천구 목동중앙북로16길 57 (목동,서울양화초등학교)",37.5436693,126.873986,목동,목2동
서울염강초등학교,"서울특별시 강서구 허준로 221-22 , 서울염강초등학교 (가양동,염강초등학교)",37.56111251,126.8642216,가양동,가양3동
서울염동초등학교,"서울특별시 강서구 양천로73길 17 (염창동,염동초등학교)",37.55209548,126.8723509,염창동,염창동
서울염창초등학교,"서울특별시 강서구 양천로 646-28 (염창동, 염창초등학교)",37.55322614,126.8676002,염창동,염창동
서울영도초등학교,"서울특별시 양천구 목동중앙로 70 , 서울영도초등학교 (목동,서울영도초등학교)",37.53594995,126.8719426,목동,목5동
서울우장초등학교,"서울특별시 강서구 화곡로 263 (화곡동,우장초등학교)",37.54963819,126.8459842,화곡동,화곡6동
서울월정초등학교,"서울특별시 강서구 월정로 176 (화곡동,월정초등학교)",37.53499419,126.8362936,화곡동,화곡1동
서울월촌초등학교,"서울특별시 양천구 목동중앙로 132 (목동,서울월촌초등학교)",37.54069543,126.876258,목동,목5동
서울은정초등학교,서울특별시 양천구 목동남로 85 서울은정초등학교,37.51114164,126.8671804,신정동,신정7동
서울정곡초등학교,"서울특별시 강서구 방화대로50길 22 (방화동,정곡초등학교)",37.5769597,126.8189328,방화동,방화3동
서울정목초등학교,"서울특별시 양천구 목동중앙로3길 30-10 (목동,서울정목초등학교)",37.53652885,126.8700491,목동,목4동
서울지향초등학교,"서울특별시 양천구 신정로11길 74 , 서울지향초등학교 (신정동,지향초등학교)",37.51283768,126.8370238,신정동,신정3동
서울치현초등학교,서울특별시 강서구 방화대로47길 43 서울치현초등학교,37.57591915,126.8146456,방화동,방화3동
서울탑산초등학교,"서울특별시 강서구 허준로 109 (가양동,탑산초등학교)",37.56700477,126.852594,가양동,가양2동
서울화곡초등학교,"서울특별시 강서구 초록마을로 28 화곡동,화곡초등학교",37.54366962,126.8464717,화곡동,화곡본동
유석초등학교,"서울특별시 강서구 화곡로69길 9 (등촌동,유석초등학교)",37.56080181,126.8537794,등촌동,등촌3동
동광초등학교,"서울특별시 금천구 탑골로10길 45 , 동광초등학교 (시흥동)",37.45192067,126.915824,시흥동,시흥2동
서울가산초등학교,"서울특별시 금천구 남부순환로 1304-11 , 서울가산초등학교 (독산동)",37.47818039,126.8957322,가산동,가산동
서울개명초등학교,"서울특별시 구로구 개봉로1다길 16-9 (개봉동,개명초등학교)",37.48305638,126.8509407,개봉동,개봉3동
서울개봉초등학교,서울특별시 구로구 개봉로16길 30-11 (개봉동),37.48952806,126.8579722,개봉동,개봉3동
서울개웅초등학교,"서울특별시 구로구 개봉로11길 98 (개봉동,개웅초등학교)",37.48857132,126.8499823,개봉동,개봉3동
서울고산초등학교,"서울특별시 구로구 중앙로 6 (고척동, 고산초등학교)",37.49932523,126.8653501,고척동,고척1동
서울고척초등학교,서울특별시 구로구 경서로 31 (고척동),37.50097636,126.8567963,고척동,고척1동
서울구로남초등학교,"서울특별시 구로구 디지털로27길 76 (구로동,구로남초등학교)",37.4847046,126.8902678,구로동,구로3동
서울구로초등학교,"서울특별시 구로구 구로중앙로27나길 9 , 구로동443 (구로동)",37.49726168,126.8860018,구로동,구로2동
서울구일초등학교,"서울특별시 구로구 구일로 68 (구로동,구일초등학교)",37.49319187,126.8734727,구로동,구로1동
서울금산초등학교,"서울특별시 금천구 시흥대로24길 57 (시흥동, 서울금산초등학교)",37.44142118,126.9078816,시흥동,시흥3동
서울금천초등학교,서울특별시 금천구 탑골로5길 60 (시흥동),37.45480431,126.9128869,시흥동,시흥5동
서울당산초등학교,"서울특별시 영등포구 선유로55길 32 , 서울당산초등학교 (양평동4가)",37.54011912,126.8962411,양평동4가,양평2동
서울당서초등학교,"서울특별시 영등포구 당산로 187 , 서울당서초등학교 (당산동5가)",37.53202744,126.8998142,당산동5가,당산2동
서울당중초등학교,"서울특별시 영등포구 선유로 131 , 서울당중초등학교 (양평동3가)",37.52628923,126.8894135,양평동3가,양평1동
서울대길초등학교,"서울특별시 영등포구 대방천로 206 , 서울대길초등학교 (신길동)",37.49823145,126.913035,신길동,신길6동
서울대동초등학교,"서울특별시 영등포구 대림로21길 6 , 서울대동초등학교 (대림동)",37.49370937,126.9004506,대림동,대림2동
서울대방초등학교,서울특별시 영등포구 여의대방로35길 14 (신길동),37.50290012,126.9190202,신길동,신길7동
서울대영초등학교,"서울특별시 영등포구 신길로23길 43 (신길동,대영초등학교)",37.5026542,126.9065244,신길동,신길5동
서울덕의초등학교,"서울특별시 구로구 고척로 213 (고척동,덕의초등학교)",37.5060004,126.8573531,고척동,고척2동
서울도림초등학교,"서울특별시 영등포구 가마산로65길 22 , 서울도림초등학교 (신길동)",37.50867869,126.9071154,신길동,신길3동
서울도신초등학교,"서울특별시 영등포구 도림로53길 32-9 , 서울도신초등학교 (대림동)",37.49926789,126.9007141,대림동,대림3동
서울독산초등학교,"서울특별시 금천구 시흥대로104길 31 (독산동,독산초등학교)",37.46565619,126.8997129,독산동,독산2동
서울동구로초등학교,"서울특별시 구로구 구로중앙로14길 43 , 서울동구로초등학교 (구로동)",37.494448,126.8930163,구로동,구로4동
서울두산초등학교,"서울특별시 금천구 범안로11길 3 , 서울두산초등학교 (독산동)",37.46754668,126.8909465,독산동,독산1동
서울매봉초등학교,"서울특별시 구로구 고척로21길 55 , 서울매봉초등학교 (개봉동)",37.504944,126.8443866,개봉동,개봉1동
서울문교초등학교,"서울특별시 금천구 독산로54길 102 , 문교초등학교 (독산동)",37.46676964,126.9089299,독산동,독산2동
서울문래초등학교,"서울특별시 영등포구 문래로 104 (문래동3가, 문래초등학교)",37.51914038,126.8936057,문래동3가,문래동
서울문백초등학교,"서울특별시 금천구 시흥대로47길 43-1 (시흥동, 문백초등학교)",37.44711987,126.8986887,시흥동,시흥1동
서울문성초등학교,"서울특별시 금천구 시흥대로 460 , 서울문성초등학교  (독산동)",37.47488188,126.8994713,독산동,독산3동
서울미래초등학교,"서울특별시 구로구 새말로 73 , 서울미래초등학교 (구로동)",37.50510665,126.8880803,구로동,구로5동
서울백산초등학교,"서울특별시 금천구 시흥대로38길 78 (시흥동, 백산초등학교)",37.44676728,126.9050646,시흥동,시흥5동
서울세곡초등학교,"서울특별시 구로구 고척로33길 34 (고척동,세곡초등학교)",37.50506044,126.8491266,고척동,고척2동
서울시흥초등학교,"서울특별시 금천구 독산로23길 26 , 서울시흥초등학교 (시흥동)",37.4553482,126.9046492,시흥동,시흥1동
서울신구로초등학교,"서울특별시 구로구 가마산로27길 69 (구로동,서울신구로초등학교)",37.49942087,126.8888574,구로동,구로5동
서울신대림초등학교,서울특별시 영등포구 대림로8길 25 (대림동),37.49214874,126.9060777,대림동,대림1동
서울신도림초등학교,"서울특별시 구로구 신도림로19길 44 , 서울신도림초등학교 (신도림동)",37.51199636,126.8831507,신도림동,신도림동
서울신미림초등학교,"서울특별시 구로구 신도림로 26 (신도림동, 신미림초등학교)",37.5071588,126.8795842,신도림동,신도림동
서울신영초등학교,"서울특별시 영등포구 도신로4길 32 (대림동,신영초등학교)",37.50100602,126.8960948,대림동,대림3동
서울신흥초등학교,"서울특별시 금천구 독산로36나길 21 (시흥동, 신흥초등학교)",37.45928427,126.9093492,시흥동,시흥4동
서울안천초등학교,"서울특별시 금천구 한내로 69-16 , 서울안천초등학교 (독산동)",37.45875781,126.8883914,독산동,독산1동
서울여의도초등학교,"서울특별시 영등포구 여의대방로 439 , 서울여의도초등학교 (여의도동)",37.52320482,126.9367944,여의도동,여의동
서울영남초등학교,서울특별시 금천구 문성로 62-15 (독산동),37.4758807,126.9099228,독산동,독산3동
서울영동초등학교,"서울특별시 영등포구 국회대로53길 20 , (당산동, 영동초등학교) (당산동)",37.52700691,126.9077034,당산동,당산2동
서울영등포초등학교,서울특별시 영등포구 경인로 756 (문래동1가),37.51294802,126.89826,문래동1가,문래동
서울영림초등학교,"서울특별시 영등포구 시흥대로173길 14 , 서울영림초등학교 (대림동)",37.48734601,126.9025161,대림동,대림2동
서울영서초등학교,"서울특별시 구로구 도림로20길 57 , 영서초등학교 (구로동)",37.48796309,126.8950274,구로동,구로3동
서울영신초등학교,서울특별시 영등포구 도신로60길 23 (신길동),37.51017196,126.9181221,신길동,신길1동
서울영원초등학교,서울특별시 영등포구 도영로 22길 31 (도림동),37.51071936,126.9021825,영등포동,영등포본동
